timestamp,cylinder_number,customer,job_number,grain_screened,proof_on_ctd_ink,blade_mfg,paper_type,ink_type,direct_steam,solvent_type,type_on_cylinder,press_type,press,unit_number,cylinder_size,paper_mill_location,plating_tank,proof_cut,viscosity,caliper,ink_temperature,humifity,roughness,blade_pressure,varnish_pct,press_speed,ink_pct,solvent_pct,ESA_Voltage,ESA_Amperage,wax,hardener,roller_durometer,current_density,anode_space_ratio,chrome_content,band_type
1991-01-08,x126,tvguide,25503,True,True,benton,uncoated,uncoated,False,line,True,motter94,821,2,tabloid,northus,1911,55.0,46,0.2,17.0,78,0.75,20,13.1,1700,50.5,36.4,0.0,0.0,2.5,1.0,34.0,40,105.0,100,band
1991-01-09,x266,tvguide,25503,True,True,benton,uncoated,uncoated,False,line,True,motter94,821,2,tabloid,northus,,55.0,46,0.3,15.0,80,0.75,20,6.6,1900,54.9,38.5,0.0,0.0,2.5,0.7,34.0,40,105.0,100,noband
1991-01-04,b7,modmat,47201,True,True,benton,uncoated,coated,False,line,True,woodhoe70,815,9,catalog,northus,,62.0,40,0.433,16.0,80,,30,6.5,1850,53.8,39.8,0.0,0.0,2.8,0.9,40.0,40,103.87,100,noband
1991-01-04,t133,massey,39039,True,True,benton,uncoated,uncoated,False,line,True,woodhoe70,816,9,catalog,northus,1910,52.0,40,0.3,16.0,75,0.3125,30,5.6,1467,55.6,38.8,0.0,0.0,2.5,1.3,40.0,40,108.06,100,noband
1991-01-11,j34,kmart,37351,False,True,benton,uncoated,coated,False,line,True,woodhoe70,816,2,tabloid,,1910,50.0,46,0.3,17.0,80,0.75,30,0.0,2100,57.5,42.5,5.0,0.0,2.3,0.6,35.0,40,106.67,100,noband
1991-01-04,t218,massey,38039,True,True,benton,uncoated,uncoated,False,line,True,woodhoe70,816,2,catalog,northus,1910,50.0,40,0.267,16.8,76,0.4375,28,8.6,1467,53.8,37.6,5.0,0.0,2.5,0.8,40.0,40,103.87,100,noband
1991-01-11,x249,roses,35751,False,True,benton,coated,coated,False,line,True,motter94,827,2,tabloid,canadian,1911,50.0,46,0.3,16.5,75,0.75,30,0.0,2600,62.5,37.5,6.0,0.0,2.5,0.6,30.0,40,106.67,100,noband
1991-01-11,x788,roses,35751,False,True,benton,coated,coated,False,line,True,motter94,827,9,tabloid,canadian,1911,50.0,46,0.2,16.5,75,0.75,28,0.0,2600,62.5,37.5,6.0,0.0,2.5,1.1,30.0,40,106.67,100,noband
1991-01-12,m372,modmat,47201,True,True,benton,uncoated,uncoated,False,xylol,True,albert70,802,7,catalog,northus,1910,50.0,45,0.367,12.0,70,0.75,60,0.0,1650,60.2,39.8,1.5,0.0,3.0,1.0,40.0,40,103.22,100,band
1991-01-14,i320,childcraft,37000,True,True,benton,uncoated,uncoated,False,line,True,woodhoe70,815,2,catalog,northus,1911,65.0,43,0.333,16.0,75,1.0,32,22.7,1750,45.5,31.8,0.0,0.0,3.0,1.0,38.0,40,106.66,100,noband
1991-01-14,i337,childcraft,37000,True,True,benton,uncoated,uncoated,False,line,True,woodhoe70,815,9,catalog,northus,1910,65.0,43,0.2,16.0,68,0.75,30,15.5,1750,48.5,35.9,0.0,0.0,3.0,1.0,38.0,40,106.6,100,noband
1991-01-11,x352,hanovrhous,35539,True,True,benton,uncoated,uncoated,False,line,True,motter94,821,2,tabloid,northus,1911,50.0,50,0.367,14.0,80,0.75,40,10.5,1700,52.6,36.8,0.0,0.0,2.5,1.0,38.0,40,105.0,100,band
1991-01-17,x67,hanoverhouse,35539,True,True,benton,uncoated,uncoated,False,line,True,motter94,821,7,tabloid,northus,1911,50.0,50,0.3,15.0,70,1.0,30,10.0,1600,50.0,40.0,0.0,0.0,2.8,1.0,38.0,40,106.66,100,band
1991-01-25,x817,guideposts,23052,True,True,benton,uncoated,uncoated,False,line,True,motter94,821,7,tabloid,northus,1911,40.0,45,0.3,14.5,70,0.625,25,0.0,1500,59.5,40.5,0.0,0.0,2.0,1.0,40.0,40,100.0,100,band
1991-01-17,x273,hanoverhouse,35539,True,True,benton,uncoated,uncoated,False,line,True,motter94,821,2,tabloid,northus,1911,50.0,43,0.267,16.0,75,1.0,20,15.8,1600,49.5,34.7,0.0,0.0,2.5,1.0,38.0,40,103.22,100,noband
1991-01-03,f108,modmat,47201,,True,benton,coated,coated,False,line,False,motter70,813,9,catalog,northus,1911,,45,0.233,15.0,87,1.0,,0.0,1400,62.5,37.5,0.0,0.0,2.5,1.0,40.0,40,103.22,100,band
1991-01-29,f237,homeshop,38064,False,True,benton,coated,coated,False,line,False,motter70,813,5,catalog,canadian,1911,30.0,45,0.2,14.0,65,,,0.0,1600,62.5,37.5,0.0,0.0,2.5,0.8,33.0,40,100.0,100,noband
1991-01-29,f267,homeshop,38064,False,True,benton,coated,coated,False,line,False,motter70,813,1,catalog,canadian,1911,30.0,45,0.2,15.5,65,,,5.9,1600,58.8,35.3,0.0,0.0,2.5,1.8,33.0,40,100.0,100,noband
1991-01-23,s21,uscav,35521,True,True,benton,uncoated,uncoated,False,line,True,motter70,813,5,catalog,canadian,1910,60.0,38,0.267,16.4,64,0.75,,11.0,1400,54.9,34.1,0.0,0.0,2.5,1.0,32.0,40,103.22,100,noband
1991-01-23,f492,uscav,35521,True,True,benton,uncoated,uncoated,False,line,True,motter70,813,1,catalog,canadian,1911,60.0,38,0.333,16.5,66,0.75,,6.7,1400,56.2,37.1,0.0,0.0,1.1,1.4,32.0,40,103.22,100,noband
1991-01-30,x799,colortile,37571,False,True,benton,coated,coated,False,naptha,False,motter94,824,2,tabloid,canadian,1911,50.0,45,0.233,16.0,70,0.8125,30,0.0,2400,58.8,41.2,0.0,0.0,1.7,1.0,30.0,40,107.4,100,noband
1991-01-30,x823,colortile,35751,False,True,benton,coated,coated,False,naptha,True,motter94,824,9,tabloid,canadian,1911,40.0,45,0.2,15.0,76,0.8125,30,0.0,2400,62.5,37.5,0.0,0.0,1.0,1.0,30.0,40,107.4,100,noband
1991-01-17,x163,wards,37340,False,True,benton,coated,coated,False,line,True,motter94,824,2,tabloid,canadian,1911,30.0,43,0.2,16.3,70,0.8125,25,1.2,2200,58.1,40.7,4.0,0.0,2.0,1.0,30.0,40,96.875,100,noband
1991-01-27,o4,target,35816,False,True,benton,coated,coated,False,line,True,motter94,827,2,spiegel,canadian,1911,40.0,41,0.2,15.8,72,1.0,30,0.0,2000,62.5,37.5,0.0,0.0,2.5,1.0,30.0,40,107.4,100,band
1991-01-31,e84,kmart,37352,False,True,benton,coated,coated,False,line,True,motter94,827,9,tabloid,scandanavian,1911,40.0,42,0.2,14.5,74,1.0,25,8.0,2100,57.5,34.5,0.0,0.0,2.3,0.7,35.0,40,107.4,100,band
1991-02-01,e81,kmart,37352,False,True,benton,coated,coated,False,line,True,motter94,827,9,tabloid,scandanavian,1911,45.0,42,0.2,14.0,70,1.0,20,8.0,1850,57.5,34.5,0.0,0.0,2.0,0.7,35.0,40,107.4,100,band
1991-01-30,e72,kmart,37352,False,True,benton,uncoated,coated,False,line,True,motter94,827,9,tabloid,scandanavian,1911,50.0,45,0.3,15.0,76,1.0,30,8.0,2150,57.5,34.5,0.0,0.0,2.5,1.0,35.0,40,107.4,100,noband
1991-01-30,e310,kmart,37352,False,True,benton,uncoated,coated,False,line,True,motter94,827,2,tabloid,scandanavian,1911,50.0,45,0.3,15.2,72,1.0,25,5.9,2150,58.8,35.3,0.0,0.0,2.5,1.0,35.0,40,107.4,100,noband
1991-02-01,x29,woolworth,37080,False,True,benton,coated,coated,False,line,False,motter94,828,2,tabloid,canadian,1911,35.0,42,,15.0,75,0.75,30,0.0,2100,58.8,41.2,0.0,0.0,2.0,0.8,30.0,40,107.4,100,band
1991-01-18,x292,ames,37157,False,True,benton,coated,coated,False,line,False,motter94,828,2,tabloid,canadian,1910,30.0,45,0.233,17.0,70,0.75,35,0.0,2200,58.8,41.2,0.0,0.0,2.5,1.0,33.0,40,106.45,100,band
1991-02-06,j9,kmart,37352,False,True,benton,uncoated,coated,False,line,True,woodhoe70,815,2,tabloid,northus,1911,37.5,44,0.2,16.0,90,0.75,28,20.0,2050,45.0,35.0,0.0,0.0,2.4,0.8,35.0,40,107.4,100,noband
1991-02-06,j582,kmart,37352,False,True,benton,uncoated,coated,False,line,True,woodhoe70,815,9,tabloid,northus,1911,37.5,44,0.2,16.5,91,0.75,30,21.7,2050,43.5,34.8,0.0,0.0,2.7,0.8,35.0,40,107.4,100,noband
1991-02-06,x141,tvguide,25507,True,True,benton,uncoated,uncoated,False,line,True,motter94,821,2,tabloid,,1911,45.0,44,0.267,14.1,78,0.625,22,7.6,1510,54.3,38.0,0.0,0.0,2.5,0.7,34.0,40,114.28,100,noband
1991-02-06,x818,tvguide,25507,True,True,benton,uncoated,uncoated,False,line,True,motter94,821,7,tabloid,,1910,40.0,44,0.2,14.0,69,0.625,20,8.5,1510,53.2,38.3,2.0,0.0,2.5,0.9,34.0,40,110.0,100,noband
1991-02-08,v376,woolworth,37080,False,True,benton,coated,coated,False,line,False,motter94,828,2,tabloid,,1911,40.0,47,0.333,17.0,78,0.75,35,0.0,2400,58.8,41.2,4.0,0.0,2.5,1.0,30.0,40,100.0,100,band
1991-02-11,m254,abbypress,27490,False,True,benton,coated,coated,False,line,True,motter70,813,1,catalog,,1911,30.0,42,0.2,15.4,64,0.875,,0.0,1425,63.0,37.0,0.0,0.0,1.0,1.3,34.0,40,107.4,100,noband
1991-02-15,r5,target,35811,False,True,benton,coated,coated,False,line,True,woodhoe70,815,2,spiegel,canadian,1910,45.0,38,,15.0,80,0.625,30,7.0,1600,58.1,34.9,0.0,0.0,2.5,1.5,30.0,40,103.22,100,band
1991-01-13,j33,belk,35334,True,True,benton,uncoated,uncoated,False,line,True,woodhoe70,816,2,tabloid,,1911,40.0,43,0.267,16.0,96,1.0,28,0.0,1500,58.8,41.2,2.0,0.0,3.0,0.8,40.0,40,103.12,100,noband
1991-02-13,j43,belk,35334,True,True,benton,uncoated,uncoated,False,line,True,woodhoe70,816,9,tabloid,northus,1911,32.5,43,0.2,15.0,82,1.0,31,7.6,1500,54.3,38.0,4.0,0.0,2.5,1.0,40.0,40,103.12,100,noband
1991-02-12,i357,sears,37869,False,True,benton,uncoated,coated,False,line,True,woodhoe70,815,9,catalog,northus,1911,37.5,44,0.3,15.0,85,0.75,34,0.0,1400,62.5,37.5,0.0,0.0,2.8,1.0,28.0,40,103.12,100,noband
1991-02-12,i353,sears,37869,False,True,benton,uncoated,coated,False,line,True,woodhoe70,815,2,catalog,northus,1910,35.0,44,0.3,16.0,80,1.0,32,7.0,1400,58.1,34.9,0.0,0.0,3.0,1.0,28.0,40,103.12,100,noband
1991-02-11,m254,abbypress,27490,False,True,benton,coated,coated,False,line,True,motter70,813,1,catalog,northus,1911,30.0,42,0.2,15.4,64,0.875,,0.0,1425,61.7,38.3,0.0,0.0,1.0,1.3,34.0,40,107.4,100,noband
1991-02-14,x291,roses,35752,False,True,benton,coated,coated,False,line,True,motter94,824,9,tabloid,canadian,1910,50.0,43,0.2,16.0,82,0.875,30,0.0,2270,55.6,44.4,12.0,0.0,2.0,1.0,30.0,40,103.22,100,noband
1991-02-14,x129,roses,35752,False,True,benton,coated,coated,False,line,True,motter94,824,2,tabloid,canadian,1910,50.0,43,0.3,16.3,80,0.8125,30,0.0,2270,55.6,44.4,12.0,0.0,1.5,1.5,30.0,40,103.22,100,noband
1991-02-14,x297,jcpenny,35794,False,True,benton,uncoated,coated,False,line,True,motter94,827,2,tabloid,northus,1911,60.0,43,0.267,15.8,57,0.75,24,1.2,1480,58.1,40.7,0.0,0.0,1.4,1.7,33.0,40,103.12,100,noband
1991-02-14,x146,jcpenny,35794,False,True,benton,uncoated,coated,False,line,True,motter94,827,9,tabloid,northus,1911,52.5,43,0.233,16.6,58,0.75,20,7.9,1480,56.2,36.0,0.0,0.0,1.7,0.7,33.0,40,103.12,100,noband
1991-02-13,x129,roses,35752,False,True,benton,coated,coated,False,line,True,motter94,824,2,tabloid,,1910,50.0,43,0.3,17.0,87,0.8125,35,0.0,2300,58.8,41.2,0.0,0.0,1.3,0.7,30.0,40,103.22,100,noband
1991-02-15,e303,cenpurch,37441,False,True,benton,coated,coated,False,line,True,motter94,821,2,tabloid,canadian,1911,25.0,38,0.2,13.0,75,0.625,25,0.0,1600,57.5,42.5,0.0,0.0,2.5,0.85,30.0,40,103.12,100,noband
1991-02-15,e68,cenpurch,37441,False,True,benton,coated,coated,False,line,True,motter94,821,7,tabloid,canadian,1911,25.0,38,0.233,14.0,70,0.625,25,0.0,1600,58.8,41.2,5.0,0.0,1.7,0.9,30.0,40,103.12,100,noband
